idx,raw_id,original_sentence,standard_negation,sn_절1,sn_절2,sn_절3,local_negation_type,local_negation,local_부정요소,ln_절1,ln_절2,contradiction,paraphrase,note
2201,644387,백종헌은 대한민국의 정치인이자 제21대 국회의원을 지냈다.,"백종헌은 대한민국의 정치인이 아니거나, 제21대 국회의원을 지내지 못했다.",아니다,못 장형,,대등절 일부,백종헌은 대한민국의 정치인이며 제21대 국회의원을 안 지냈다.,제21대 국회의원을 지냈다,안 단형,,백종헌은 조선민주주의인민공화국의 정치인이자 제21대 국회의원을 지냈다.,"백종헌은 대한민국에서 활동한 정치인으로, 제21대 국회의원으로 역임한 바 있다.",
2202,433468,"두바이 시티 타워는 2008년 8월 25일에 제안된 높이 2,400m의 초고층 건물이다.","두바이 시티 타워는 2008년 8월 25일에 제안된 높이 2,400m의 초고층 건물이 아니다.",아니다,,,관형절,"두바이 시티 타워는 2008년 8월 25일에 제안되지 않은 높이 2,400m의 초고층 건물이다.",2008년 8월 25일에 제안된,안 장형,,두바이 시티 타워는 2015년 3월 10일에 완공된 높이 240m의 저층 건물이다.,"두바이 시티 타워는 2008년 8월 25일에 높이 2,400m로 제안된 초고층 빌딩이다.",
2203,376990,람보는 군인들에게 더 많은 관심을 가져야 한다고 말한 뒤 과거의 상처를 안고 홀로 떠났다.,람보는 군인들에게 더 많은 관심을 가져야 한다고 말한 뒤 과거의 상처를 안고 홀로 떠나지 않았다.,안 장형,,,인용절,람보는 군인들에게 더 많은 관심을 가져야 하지 않는다고 말한 뒤 과거의 상처를 안고 홀로 떠났다.,군인들에게 더 많은 관심을 가져야 한다고,안 장형,,람보는 군인들에게 더 적은 관심을 가져야 한다고 말한 뒤 과거의 상처를 치유하고 동료들과 함께 남았다.,"람보는 군인들에 대한 배려가 필요하다고 언급한 후, 옛 상처를 품고 혼자 떠났다.",
2204,176332,유성생식은 암수의 생식 세포가 결합하여 새로운 개체를 만드는 생식법이다.,유성생식은 암수의 생식 세포가 결합하여 새로운 개체를 만드는 생식법이 아니다.,아니다,,,부사절,유성생식은 암수의 생식 세포가 결합하지 않아 새로운 개체를 만드는 생식법이다.,암수의 생식 세포가 결합하여,안 장형,,유성생식은 단일 개체의 체세포가 분열하여 새로운 개체를 만드는 생식법이다.,유성생식은 암컷과 수컷의 생식세포가 만나 새로운 생물을 생성하는 방식이다.,
2205,779096,살인 전화는 아나톨 리트박 감독이 연출하고 바바라 스탠윅이 주연한 1948년 미국 제작의 드라마 영화이다.,살인 전화는 아나톨 리트박 감독이 연출하고 바바라 스탠윅이 주연한 1948년 미국 제작의 드라마 영화가 아니다.,아니다,,,관형절,살인 전화는 아나톨 리트박 감독이 안 연출하고 바바라 스탠윅이 주연하지 않은 1948년 미국 제작의 드라마 영화이다.,아나톨 리트박 감독이 연출하고 바바라 스탠윅이 주연한,안 단형,안 장형,살인 전화는 알프레드 히치콕 감독이 연출하고 잉그리드 버그먼이 주연한 1960년 영국 제작의 코미디 영화이다.,1948년에 미국에서 제작된 드라마 영화 '살인 전화'는 아나톨 리트박이 감독하고 바바라 스탠윅이 주연을 맡았다.,
2206,241726,비자야는 크메르 왕 자야바르만 7세와 연관되어 있었다.,비자야는 크메르 왕 자야바르만 7세와 연관되어 있지 않았다.,안 장형,,,,,,,,비자야는 크메르 왕 자야바르만 3세에 대해서만 연관되어 있었다.,비자야는 크메르의 통치자였던 자야바르만 7세와 관련이 있었다.,
2207,540718,1964년 9월에 열린 5번째 인터콘티넨털컵 대회에서 1963-64년 유러피언컵 우승 팀인 인테르나치오날레와 1964년 코파 리베르타도레스 우승 팀인 인데펜디엔테가 맞붙었다.,1964년 9월에 열린 5번째 인터콘티넨털컵 대회에서 1963-64년 유러피언컵 우승 팀인 인테르나치오날레와 1964년 코파 리베르타도레스 우승 팀인 인데펜디엔테가 맞붙지 않았다.,안 장형,,,관형절,1964년 9월에 열린 5번째 인터콘티넨털컵 대회에서 1963-64년 유러피언컵 우승 팀이 아닌 인테르나치오날레와 1964년 코파 리베르타도레스 우승 팀인 인데펜디엔테가 맞붙었다.,1963-64년 유러피언컵 우승 팀인,아니다,,1964년 9월에 열린 5번째 인터콘티넨털컵 대회에서 1963-64년 유러피언컵 우승 팀인 레알 마드리드와 1964년 코파 리베르타도레스 우승 팀인 산투스가 맞붙었다.,1964년 9월에 개최된 다섯 번째 인터콘티넨털컵에서는 1963-64 유러피언컵 우승팀인 인테르나치오날레와 1964년 코파 리베르타도레스 챔피언인 인데펜디엔테가 경기를 펼쳤다.,
2208,867160,전략지리학은 국가의 안보와 번영에 영향을 미치는 공간을 통제하거나 접근하는 문제를 다룬다.,전략지리학은 국가의 안보와 번영에 영향을 미치는 공간을 통제하거나 접근하는 문제를 다루지 않는다.,안 장형,,,관형절,전략지리학은 국가의 안보나 번영에 영향을 미치지 못하는 공간을 통제하거나 접근하는 문제를 다룬다.,국가의 안보와 번영에 영향을 미치는,못 장형,,전략지리학은 국가의 안보와 번영과 무관한 공간을 통제하거나 접근하는 문제를 다룬다.,전략지리학은 국가의 안전과 발전에 영향을 주는 공간의 접근과 통제에 관한 문제를 다룬다.,
2209,814928,제10회 세자르상 시상식은 1985년 2월 3일 파리의 엠파이어 극장에서 열렸다.,제10회 세자르상 시상식은 1985년 2월 3일 파리의 엠파이어 극장에서 열리지 않았다.,안 장형,,,,,,,,제10회 세자르상 시상식은 1986년 9월 12일 리옹의 오페라 극장에서 열렸다.,제10회 세자르상 시상식은 1985년 2월 3일 파리 엠파이어 극장에서 진행되었다.,
2210,508689,"1949년에 태어난 알라 보리소브나 푸가쵸바는 소련과 러시아에서 활동한 음악가이며, 1965년부터 경력을 이어오고 있다.","1949년에 태어난 알라 보리소브나 푸가쵸바는 소련과 러시아에서 활동한 음악가가 아니거나, 1965년부터 경력을 이어오고 있지 못하다.",아니다,못 장형,,대등절 일부,"1949년에 태어난 알라 보리소브나 푸가쵸바는 소련과 러시아에서 활동한 음악가가 아니며, 1965년부터 경력을 이어오고 있다.",음악가이며,아니다,,"1959년에 태어난 알라 보리소브나 푸가쵸바는 소련과 러시아에서 활동한 음악가이며, 1985년부터 경력을 이어오고 있다.","알라 보리소브나 푸가쵸바는 1949년생 음악가로, 1965년부터 소련과 러시아에서 활동을 시작했다.",
2211,604340,"자율개선대학으로 207개교가 선정되었으며, 86개교가 역량강화대학 및 재정지원제한대학으로 선정되어 정원감축의 불이익을 받았다.","자율개선대학으로 207개교가 선정되지 않았거나, 86개교가 역량강화대학 및 재정지원제한대학으로 선정되어 정원감축의 불이익을 받지 않았다.",안 장형,안 장형,,부사절,"자율개선대학으로 207개교가 선정되었으며, 86개교가 역량강화대학이나 재정지원제한대학으로 선정되지 않아 정원감축의 불이익을 받았다.",역량강화대학 및 재정지원제한대학으로 선정되어,안 장형,,"자율개선대학으로 207개교가 탈락했으며, 86개교가 역량강화대학 및 재정지원제한대학으로 선정되어 정원확대의 혜택을 받았다.","총 207개 대학이 자율개선대학으로 뽑혔고, 86개 대학은 역량강화대학 또는 재정지원제한대학으로 지정되어 정원 감축 등의 불이익을 받았다.",
2212,636948,마흘랍은 루치아벚나무의 씨를 말려 만든 향신료이고 아몬드와 체리의 향미를 지닌다.,"마흘랍은 루치아벚나무의 씨를 말려 만든 향신료가 아니거나, 아몬드의 향미를 지니지 않거나, 체리의 향미를 지니지 않는다.",아니다,안 장형,안 장형,부사절,마흘랍은 루치아벚나무의 씨를 안 말려 만든 향신료이고 아몬드와 체리의 향미를 지닌다.,루치아벚나무의 씨를 말려,안 단형,,마흘랍은 루치아벚나무의 잎을 절여 만든 향신료이고 바닐라와 시나몬의 향미만 지닌다.,"마흘랍은 루치아벚나무 씨를 건조해서 만든 향신료로, 아몬드와 체리의 풍미가 있다.",
2213,172631,"가이아나인은 가이아나 출신의 남아메리카인이며, 약 75만 명이 스스로를 가이아나인이라 밝힌다.","가이아나인은 가이아나 출신의 남아메리카인이 아니거나, 약 75만 명이 스스로를 가이아나인이라 밝히지 않는다.",아니다,안 장형,,인용절,"가이아나인은 가이아나 출신의 남아메리카인이며, 약 75만 명이 스스로를 가이아나인이 아니라 밝힌다.",약 75만 명이 스스로를 가이아나인이라,아니다,,"가이아나인은 가이아나 출신의 북아메리카인이며, 약 7천5백만 명이 스스로를 가이아나인이라 밝힌다.","가이아나인은 남아메리카의 가이아나에서 태어난 사람을 일컫고, 약 75만 명이 자신이 가이아나인이라고 한다.",
2214,288161,구이에 사용되는 양념장인 다레는 간장과 설탕을 배합해 조리한다.,구이에 사용되는 양념장인 다레는 간장과 설탕을 배합해 조리하지 않는다.,안 장형,,,부사절,구이에 사용되는 양념장인 다레는 간장이나 설탕을 배합하지 않아 조리한다.,간장과 설탕을 배합해,안 장형,,구이에 사용되는 양념장인 다레는 간장과 설탕 대신 식초와 소금을 배합해 조리한다.,"다레는 간장과 설탕을 섞어서 만든 양념장으로, 구이에 쓴다.",
2215,502561,군령부의 개명이 받아들여지지 않아 해군 군령부장은 참모 총장과 대등한 입장에서 작전을 책임지게 되었다.,군령부의 개명이 받아들여지지 않아 해군 군령부장은 참모 총장과 대등한 입장에서 작전을 책임지게 되지 않았다.,안 장형,,,종속절,군령부의 개명이 받아들여져 해군 군령부장은 참모 총장과 대등한 입장에서 작전을 책임지게 되었다.,군령부의 개명이 받아들여지지 않아,,,군령부의 개명이 받아들여져 해군 군령부장은 참모 총장에게 종속된 입장에서 작전을 보조하게 되었다.,군령부 명칭 변경이 승인되지 않아 해군 군령부장은 참모 총장과 동등한 위치에서 작전을 담당하게 되었다.,
2216,106383,준급행과 구간 준급행 열차는 급행선 승강장에서 출발한다.,"준급행 열차는 급행선 승강장에서 출발하지 않거나, 구간 준급행 열차는 급행선 승강장에서 출발하지 않는다.",안 장형,안 장형,,대등절 일부,준급행은 급행선 승강장에서 출발하지만 구간 준급행 열차는 급행선 승강장에서 안 출발한다.,준급행 열차는 급행선 승강장에서 출발한다,안 단형,,준급행과 구간 준급행 열차는 완행선 승강장에서 출발한다.,준급행 및 구간 준급행 열차는 급행선에서 탑승할 수 있다.,
2217,643085,《설국열차》는 봉준호 감독의 영화와 원작 만화를 바탕으로 하여 2020년 5월부터 2024년 9월까지 TBS와 넷플릭스에서 방영된 미국의 디스토피아 스릴러 드라마이다.,《설국열차》는 봉준호 감독의 영화와 원작 만화를 바탕으로 하여 2020년 5월부터 2024년 9월까지 TBS와 넷플릭스에서 방영된 미국의 디스토피아 스릴러 드라마가 아니다.,아니다,,,부사절,《설국열차》는 봉준호 감독의 영화이나 원작 만화를 바탕으로 하지 않아 2020년 5월부터 2024년 9월까지 TBS와 넷플릭스에서 방영된 미국의 디스토피아 스릴러 드라마이다.,봉준호 감독의 영화와 원작 만화를 바탕으로 하여,안 장형,,《설국열차》는 크리스토퍼 놀란의 오리지널 각본을 바탕으로 하여 2011년 6월부터 2015년 3월까지 HBO와 디즈니+에서 방영된 프랑스의 역사 로맨스 드라마이다.,"《설국열차》는 봉준호 감독의 영화와 만화 원작을 기반으로 제작되어, 2020년 5월부터 2024년 9월까지 TBS와 넷플릭스에서 방송된 미국의 디스토피아 스릴러 드라마이다.",
2218,222112,참매미는 낮은 음으로 '밈밈밈'하며 끝에 높은 음을 낸다.,참매미는 낮은 음으로 ‘밈밈밈’하지 않거나 끝에 높은 음을 내지 않는다.,안 장형,안 장형,,부사절,참매미는 낮은 음으로 '밈밈밈'하지 않으며 끝에 높은 음을 낸다.,낮은 음으로 '밈밈밈'하며,안 장형,,참매미는 높은 음으로 '밈밈밈'하며 끝에 낮은 음을 낸다.,"참매미는 처음에는 낮은 소리로 '밈밈밈' 울고, 마지막에 높은 소리를 추가한다.",
2219,724601,"제프 파울러가 감독을 맡은 《수퍼 소닉 2》는 2022년에 개봉한 미국 영화이며, 2020년 작품 《수퍼 소닉》의 후속편이다.",제프 파울러가 감독을 맡은 《수퍼 소닉 2》는 2022년에 개봉한 미국 영화가 아니거나 2020년 작품 《수퍼 소닉》의 후속편이 아니다.,아니다,아니다,,대등절 일부,"제프 파울러가 감독을 맡은 《수퍼 소닉 2》는 2022년에 개봉한 미국 영화이며, 2020년 작품 《수퍼 소닉》의 후속편이 아니다.",2020년 작품 《수퍼 소닉》의 후속편이다,아니다,,"루벤 플라이셔가 감독을 맡은 《수퍼 소닉 2》는 2019년에 개봉한 일본 영화이며, 2020년 작품 《수퍼 소닉》의 프리퀄이다.","《수퍼 소닉 2》는 제프 파울러가 연출한 2022년 미국 영화로, 2020년에 나온 《수퍼 소닉》의 뒤를 잇는 작품이다.",
2220,194874,《동물병원 선생님》은 사사키 노리코가 1987년부터 1993년까지 하쿠센샤 《하나토유메》에 연재한 순정만화이다.,《동물병원 선생님》은 사사키 노리코가 1987년부터 1993년까지 하쿠센샤 《하나토유메》에 연재한 순정만화가 아니다.,아니다,,,관형절,《동물병원 선생님》은 사사키 노리코가 1987년부터 1993년까지 하쿠센샤 《하나토유메》에 연재하지 않은 순정만화이다.,사사키 노리코가 1987년부터 1993년까지 하쿠센샤 《하나토유메》에 연재한,안 장형,,《동물병원 선생님》은 사사키 노리코가 1997년부터 2003년까지 슈에이샤 《주간 소년 점프》에 연재한 소년만화이다.,《동물병원 선생님》은 사사키 노리코가 1987년부터 1993년 사이에 하쿠센샤의 《하나토유메》에 연재한 순정만화 작품이다.,
2221,493593,순서론에서 부분 순서 집합의 최대 원소(最大元素)는 다른 원소들보다 크다.,"순서론에서 부분 순서 집합의 최대 원소(最大元素)는 다른 원소들과 같거나, 다른 원소들보다 작다.",어휘적,,,,,,,,순서론에서 부분 순서 집합의 최대 원소(最大元素)는 다른 원소들보다 작다.,부분 순서 집합에서 최대 원소는 나머지 모든 원소보다 크다고 한다.,
2222,312367,"이거는 조선 시대 덕수 이씨 가문의 문신이며, 연산군 8년(1502) 임술년 3월 29일에 사망했다.",이거는 조선 시대 덕수 이씨 가문의 문신이 아니거나 연산군 8년(1502) 임술년 3월 29일에 사망하지 않았다.,아니다,안 장형,,대등절 일부,"이거는 조선 시대 덕수 이씨 가문의 문신이며, 연산군 8년(1502) 임술년 3월 29일에 사망하지 않았다.",연산군 8년(1502) 임술년 3월 29일에 사망했다,안 장형,,"이거는 고려 시대 전주 이씨 가문의 무신이며, 공민왕 10년(1361) 신축년 3월 29일에 사망했다.","이 인물은 조선 시대 덕수 이씨 집안 출신의 문신으로, 연산군 8년 임술년 3월 29일에 세상을 떠났다.",
2223,866432,류블라나 출신인 엘스네르는 바커 인스브루크의 유소년부에서 활약하다가 슬로반을 거쳐 1977년에 올림피아 류블라나에 입단했다.,류블라나 출신인 엘스네르는 바커 인스브루크의 유소년부에서 활약하다가 슬로반을 거쳐 1977년에 올림피아 류블라나에 입단하지 않았다.,안 장형,,,부사절,류블라나 출신인 엘스네르는 바커 인스브루크의 유소년부에서 활약하다가 슬로반을 안 거쳐 1977년에 올림피아 류블라나에 입단했다.,슬로반을 거쳐,안 단형,,마리보르 출신인 엘스네르는 바커 인스브루크의 유소년부에서 활약하다가 슬로반을 거쳐 1977년에 하이두크 스플리트에 입단했다.,"엘스네르는 류블라나에서 태어나 바커 인스브루크 유스팀에서 뛰었고, 이후 슬로반을 거쳐 1977년에 올림피아 류블라나 소속이 되었다.",
2224,622142,KCGI는 LK투자파트너스 출신 강성부가 2018년에 설립한 대한민국의 독립 사모펀드이다.,KCGI는 LK투자파트너스 출신 강성부가 2018년에 설립한 대한민국의 독립 사모펀드가 아니다.,아니다,,,관형절,KCGI는 LK투자파트너스 출신 강성부가 2018년에 설립하지 못한 대한민국의 독립 사모펀드이다.,2018년에 설립한,못 장형,,KCGI는 LK투자파트너스 출신 강성부가 2018년에 설립한 일본의 정부 계열 사모펀드이다.,"KCGI는 강성부가 2018년에 설립한 대한민국의 독립계 사모펀드로, 그는 LK투자파트너스에서 일한 경력이 있다.",
2225,603159,"피부로 흡수하거나 섭취하여 이버멕틴을 복용하는 것이 가능하지만, 안구와 이버멕틴을 접촉하는 것은 피해야 한다.","피부로 흡수하거나 섭취하여 이버멕틴을 복용하는 것이 불가능하거나, 안구와 이버멕틴을 접촉하는 것은 피해야 하지 않는다.",어휘적,안 장형,,부사절,"피부로 흡수하고 섭취하지 않아 이버멕틴을 복용하는 것이 가능하지만, 안구와 이버멕틴을 접촉하는 것은 피해야 한다.",피부로 흡수하거나 섭취하여,안 장형,,"피부로 흡수하거나 섭취하여 이버멕틴을 복용하는 것이 가능하지만, 안구와 이버멕틴을 접촉하는 것은 적극 추천된다.","이버멕틴은 피부 흡수나 섭취를 통해 복용할 수 있으나, 눈에 닿지 않도록 주의해야 한다.",
2226,509102,황기필은 익산군수를 지냈고 황기좌는 장례원판결사에 증직되었다.,"황기필은 익산군수를 지내지 못했거나, 황기좌는 장례원판결사에 증직되지 않았다.",못 장형,안 장형,,대등절 일부,황기필은 익산군수를 안 지냈고 황기좌는 장례원판결사에 증직되었다.,황기필은 익산군수를 지냈고,안 단형,,황기필은 익산군수에 추증되었고 황기좌는 장례원판결사에서 추탈되었다.,"황기필은 익산군수를 역임했으며, 황기좌는 장례원판결사의 직위에 증직되었다.",
2227,9397,1961년 5월 자민당 중진 대표단이 장면 총리와 윤보선 대통령을 만나 한일 관계 개선을 논의했다.,1961년 5월 자민당 중진 대표단이 장면 총리와 윤보선 대통령을 만나 한일 관계 개선을 논의하지 않았다.,안 장형,,,부사절,1961년 5월 자민당 중진 대표단이 장면 총리나 윤보선 대통령을 안 만나 한일 관계 개선을 논의했다.,장면 총리와 윤보선 대통령을 만나,안 단형,,1961년 5월 자민당 중진 대표단이 장면 총리와 윤보선 대통령을 만나 한일 관계 영구 단절을 최종 확정했다.,"1961년 5월, 자민당의 고위급 대표들이 장면 총리와 윤보선 대통령과 만나 한일 간의 관계 개선 문제를 논의하였다.",
2228,101115,"바리 일대에 정착하기 시작한 사라센인들이 아드리아만까지 영향력을 확장했고, 이탈리아 남부와 지중해 일대를 약탈했다.","바리 일대에 정착하기 시작한 사라센인들이 아드리아만까지 영향력을 확장하지 못했거나, 이탈리아 남부를 안 약탈했거나, 지중해 일대를 안 약탈했다.",못 장형,안 단형,,대등절 일부,"바리 일대에 정착하기 시작한 사라센인들이 아드리아만까지 영향력을 못 확장했고, 이탈리아 남부와 지중해 일대를 약탈했다.",아드리아만까지 영향력을 확장했고,못 단형,,"바리 일대를 떠나기 시작한 사라센인들이 아드리아만에서 영향력을 상실했고, 이탈리아 남부와 지중해 일대를 보호했다.","사라센인들은 바리 지역을 중심으로 아드리아해까지 세력을 넓혀가며, 이탈리아 남부와 지중해 지역을 공격했다.",
2229,33645,호르미스다는 로마 교황좌와 콘스탄티노폴리스 총대교좌의 친교 복구를 위해 많은 노력을 기울였다.,"호르미스다는 로마 교황좌의 친교 복구를 위해 많은 노력을 기울이지 않았거나, 콘스탄티노폴리스 총대교좌의 친교 복구를 위해 많은 노력을 기울이지 않았다.",안 장형,안 장형,,관형절,호르미스다는 로마 교황좌와 콘스탄티노폴리스 총대교좌의 친교 복구를 위해 많지 않은 노력을 기울였다.,많은,안 장형,,호르미스다는 로마 교황좌와 콘스탄티노폴리스 총대교좌의 친교 단절을 위해 많은 노력을 기울였다.,호르미스다는 로마 교황좌와 콘스탄티노폴리스 총대교좌의 관계 회복을 위해 힘썼다.,
2231,13590,"프리 파스칼과 GNU 파스칼이 오픈 소스로 제공되며, 오브젝트 파스칼의 변종인 델파이는 여러 개발 도구에서 사용할 수 있다.","프리 파스칼 혹은 GNU 파스칼이 오픈 소스로 제공되지 않거나, 오브젝트 파스칼의 변종인 델파이는 여러 개발 도구에서 사용할 수 없다.",안 장형,어휘적,,대등절 일부,"프리 파스칼과 GNU 파스칼이 오픈 소스로 제공되며, 오브젝트 파스칼의 변종인 델파이는 여러 개발 도구에서 사용할 수 없다.",여러 개발 도구에서 사용할 수 있다,어휘적,,"프리 파스칼과 GNU 파스칼이 폐쇄 소스로 제공되며, 오브젝트 파스칼의 변종인 델파이는 단일 개발 도구에서만 사용할 수 있다.","프리 파스칼과 GNU 파스칼은 오픈 소스 형태로 배포되고, 오브젝트 파스칼의 파생인 델파이는 다양한 개발 도구에서 지원된다.",
2232,824246,강명철은 대한민국 출신의 전 축구 선수이며 미드필더로 활약했다.,강명철은 대한민국 출신의 전 축구 선수가 아니거나 미드필더로 활약하지 않았다.,아니다,안 장형,,대등절 일부,강명철은 대한민국 출신의 전 축구 선수이며 미드필더로 활약하지 않았다.,미드필더로 활약했다,안 장형,,강명철은 일본 출신의 현역 축구 선수이며 골키퍼로 활약했다.,강명철은 한국에서 태어난 미드필더 출신의 은퇴한 축구 선수이다.,
2233,620864,네이처리퍼블릭이 2018년 EXO 팬 페스티벌 응모 행사를 진행했다.,네이처리퍼블릭이 2018년 EXO 팬 페스티벌 응모 행사를 진행하지 않았다.,안 장형,,,,,,,,네이처리퍼블릭이 2018년 EXO 팬 페스티벌 응모 행사를 취소했다.,2018년에 네이처리퍼블릭은 EXO 팬들을 위한 응모 이벤트를 개최했다.,
2234,78273,"솔나방은 솔나방과에 속하는 곤충이며, 솔나방의 수컷은 날개를 편 길이가 4~5cm이다.",솔나방은 솔나방과에 속하는 곤충이 아니거나 솔나방의 수컷은 날개를 편 길이가 4~5cm가 아니다.,아니다,아니다,,관형절,"솔나방은 솔나방과에 속하는 곤충이며, 솔나방의 수컷은 날개를 안 편 길이가 4~5cm이다.",날개를 편,안 단형,,"솔나방은 자나방과에 속하는 곤충이며, 솔나방의 수컷은 날개를 편 길이가 10~12cm이다.","솔나방은 솔나방과에 포함된 곤충으로, 수컷의 날개 길이는 펼쳤을 때 4~5cm 정도이다.",
2235,453134,"의원들이 즉흥적으로 조직한 시위 행렬은 군인들에 의해 신속히 유혈 없이 해산되었으며, 일부 의원들이 국외로 추방되었다.","의원들이 즉흥적으로 조직한 시위 행렬은 군인들에 의해 신속히 유혈 없이 해산되지 않았거나, 일부 의원들이 국외로 추방되지 않았다.",안 장형,안 장형,,부사절,"의원들이 즉흥적으로 조직한 시위 행렬은 군인들에 의해 신속하지 않게 유혈 없이 해산되었으며, 일부 의원들이 국외로 추방되었다.",,안 장형,,"의원들이 즉흥적으로 조직한 시위 행렬은 군인들에 의해 장시간 유혈 사태 속에 격화되었으며, 일부 의원들이 국내에서 표창을 받았다.","의원들이 급히 주도한 시위는 군인들에 의해 빠르게 진압되었고, 몇몇 의원은 해외로 쫓겨났다.",
2236,418268,개구쟁이 데니스는 행크 케첨 코믹 스트립을 바탕으로 하여 닉 캐슬이 감독하고 워너 브라더스가 배급한 1993년 미국 코미디 영화이다.,개구쟁이 데니스는 행크 케첨 코믹 스트립을 바탕으로 하여 닉 캐슬이 감독하고 워너 브라더스가 배급한 1993년 미국 코미디 영화가 아니다.,아니다,,,부사절,개구쟁이 데니스는 행크 케첨 코믹 스트립을 바탕으로 하지 않아 닉 캐슬이 감독하고 워너 브라더스가 배급한 1993년 미국 코미디 영화이다.,행크 케첨 코믹 스트립을 바탕으로 하여,안 장형,,개구쟁이 데니스는 찰스 슐츠 코믹 스트립을 바탕으로 하여 스티븐 스필버그가 감독하고 유니버설 픽처스가 배급한 2001년 영국 드라마 영화이다.,"‘개구쟁이 데니스’는 1993년에 제작된 미국 코미디 영화로, 행크 케첨의 만화가 원작이며 닉 캐슬이 연출하고 워너 브라더스가 배급을 맡았다.",
2237,252108,매과이어 또는 맥과이어는 아일랜드계 성씨이다.,매과이어와 맥과이어는 아일랜드계 성씨가 아니다.,아니다,,,,,,,,매과이어 또는 맥과이어는 중국계 성씨이다.,매과이어나 맥과이어는 모두 아일랜드에서 유래한 성이다.,
2238,67973,원주민의 적대적인 활동으로 말미암아 멕시코 내부와 뉴멕시코 사이의 교역이 어려워졌다.,원주민의 적대적인 활동으로 말미암아 멕시코 내부와 뉴멕시코 사이의 교역이 안 어려워졌다.,안 단형,,,,,,,,원주민의 협력적인 활동으로 말미암아 멕시코 내부와 뉴멕시코 사이의 교역이 쉬워졌다.,멕시코와 뉴멕시코 간의 무역이 원주민의 적대적 행동 때문에 곤란해졌다.,
2239,513339,루이지애나 아이스게이터스는 1995년부터 2005년까지 루이지애나주 라피엣을 연고지로 하여 ECHL에 소속된 아이스 하키팀이다.,루이지애나 아이스게이터스는 1995년부터 2005년까지 루이지애나주 라피엣을 연고지로 하여 ECHL에 소속된 아이스 하키팀이 아니다.,아니다,,,부사절,루이지애나 아이스게이터스는 1995년부터 2005년까지 루이지애나주 라피엣을 연고지로 하지 않아 ECHL에 소속된 아이스 하키팀이다.,루이지애나주 라피엣을 연고지로 하여,안 장형,,루이지애나 아이스게이터스는 1995년부터 2005년까지 루이지애나주 뉴올리언스를 연고지로 하여 AHL에 소속된 아이스 하키팀이다.,루이지애나 아이스게이터스는 1995년부터 2005년까지 루이지애나주 라피엣을 기반으로 ECHL에서 활동했던 아이스하키 팀이다.,
2240,653949,"최재모는 대한민국의 전 축구 선수이자 축구 감독이며, 풀백 포지션에서 활약했다.","최재모는 대한민국의 전 축구 선수가 아니거나, 축구 감독이 아니거나, 풀백 포지션에서 활약하지 않았다.",아니다,아니다,안 장형,대등절 일부,"최재모는 대한민국의 전 축구 선수이자 축구 감독이며, 풀백 포지션에서 활약하지 않았다.",풀백 포지션에서 활약했다,안 장형,,"최재모는 대한민국의 현역 축구 선수이자 축구 감독이며, 스트라이커 포지션에서 활약했다.",최재모는 풀백으로 뛰었던 대한민국 출신의 전 축구 선수이자 감독이다.,
2241,144296,CP 대칭성 깨짐은 우주에서 물질과 반물질의 양이 불균형인 이유를 설명한다.,CP 대칭성 깨짐은 우주에서 물질과 반물질의 양이 불균형인 이유를 설명하지 못한다.,못 장형,,,,,,,,CP 대칭성 보존은 우주에서 반물질과 공기의 양이 불균형인 이유를 설명한다.,CP 대칭성의 파괴는 물질과 반물질이 우주에 같은 양이 아닌 원인을 설명하는 개념이다.,
2242,73949,노르웨이의 독립 이후에 노르웨이 민족주의 열풍이 고조됨에 따라 노르웨이의 사회 곳곳에서 덴마크의 잔재를 일소하려는 노력이 언어에서 나타났다.,노르웨이의 독립 이후에 노르웨이 민족주의 열풍이 고조됨에 따라 노르웨이의 사회 곳곳에서 덴마크의 잔재를 일소하려는 노력이 언어에서 나타나지 않았다.,안 장형,,,종속절,노르웨이의 독립 이후에 노르웨이 민족주의 열풍이 고조됨에 따르지 않아 노르웨이의 사회 곳곳에서 덴마크의 잔재를 일소하려는 노력이 언어에서 나타났다.,노르웨이 민족주의 열풍이 고조됨에 따라,안 장형,,노르웨이의 독립 이후에 노르웨이 민족주의 열풍이 약화됨에 따라 노르웨이의 사회 곳곳에서 덴마크의 유산을 보존하려는 노력이 언어에서 나타났다.,노르웨이가 독립한 뒤 민족주의가 확산되면서 사회 전반에서 덴마크의 영향을 언어적으로 제거하려는 움직임이 나타났다.,
2243,715202,《크루즈 패밀리》는 드림웍스 애니메이션이 제작하고 20세기 폭스와 유니버설 픽처스가 배급한 애니메이션 미디어 프랜차이즈이다.,《크루즈 패밀리》는 드림웍스 애니메이션이 제작하고 20세기 폭스와 유니버설 픽처스가 배급한 애니메이션 미디어 프랜차이즈가 아니다.,아니다,,,관형절,《크루즈 패밀리》는 드림웍스 애니메이션이 제작하지 않거나 20세기 폭스와 유니버설 픽처스가 배급하지 않은 애니메이션 미디어 프랜차이즈이다.,드림웍스 애니메이션이 제작하고 20세기 폭스와 유니버설 픽처스가 배급한,안 장형,안 장형,《크루즈 패밀리》는 픽사 애니메이션 스튜디오가 제작하고 워너 브라더스와 파라마운트 픽처스가 배급한 실사 드라마 프랜차이즈이다.,"《크루즈 패밀리》는 드림웍스 애니메이션에서 만든 애니메이션 프랜차이즈로, 20세기 폭스와 유니버설 픽처스가 배급을 담당했다.",
